name, resource
available resource, 2.0
available resource, 0.0
available resource, 0.0
available resource, 0.0
available resource, 0.0
available resource, 0.0
available resource, 28.0
available resource, 0.0
available resource, 24.0
available resource, 26.0
available resource, 28.0
available resource, 30.0
available resource, 32.0
available resource, 34.0
available resource, 48.0
available resource, 88.0
