
12.0 availRes: Resources: [2368.0 43.0 10050.0 ] : Q size 1120, 7 take 6 milliseconds
12.0 availRes: Resources: [2368.0 42.0 10048.0 ] : Q size 1120, 7 take 5 milliseconds
12.0 availRes: Resources: [2368.0 41.0 10046.0 ] : Q size 960, 6 take 4 milliseconds
12.0 availRes: Resources: [2368.0 40.0 10044.0 ] : Q size 800, 5 take 3 milliseconds
12.0 availRes: Resources: [2368.0 39.0 10042.0 ] : Q size 640, 4 take 2 milliseconds
12.0 availRes: Resources: [2368.0 39.0 10042.0 ] : Q size 1280, 8 take 10 milliseconds
12.0 availRes: Resources: [2368.0 38.0 10040.0 ] : Q size 1280, 8 take 10 milliseconds
12.0 availRes: Resources: [2368.0 37.0 10038.0 ] : Q size 1120, 7 take 6 milliseconds
12.0 availRes: Resources: [2368.0 36.0 10036.0 ] : Q size 960, 6 take 4 milliseconds
12.0 availRes: Resources: [2368.0 35.0 10034.0 ] : Q size 800, 5 take 3 milliseconds
12.0 availRes: Resources: [2368.0 34.0 10032.0 ] : Q size 640, 4 take 2 milliseconds
12.0 availRes: Resources: [2368.0 34.0 10032.0 ] : Q size 640, 4 take 2 milliseconds
13.0 availRes: Resources: [2496.0 34.0 10096.0 ] : Q size 480, 3 take 1 milliseconds
13.0 availRes: Resources: [2496.0 34.0 10096.0 ] : Q size 640, 4 take 2 milliseconds
13.0 availRes: Resources: [2496.0 33.0 10094.0 ] : Q size 480, 3 take 1 milliseconds
13.0 availRes: Resources: [2496.0 33.0 10094.0 ] : Q size 800, 5 take 3 milliseconds
13.0 availRes: Resources: [2496.0 32.0 10092.0 ] : Q size 800, 5 take 3 milliseconds
13.0 availRes: Resources: [2496.0 31.0 10090.0 ] : Q size 800, 5 take 3 milliseconds
13.0 availRes: Resources: [2496.0 30.0 10088.0 ] : Q size 640, 4 take 2 milliseconds
13.0 availRes: Resources: [2496.0 30.0 10088.0 ] : Q size 960, 6 take 4 milliseconds
13.0 availRes: Resources: [2496.0 29.0 10086.0 ] : Q size 800, 5 take 3 milliseconds
13.0 availRes: Resources: [2496.0 28.0 10084.0 ] : Q size 640, 4 take 51 milliseconds
13.0 availRes: Resources: [2496.0 28.0 10084.0 ] : Q size 640, 4 take 2 milliseconds
14.0 availRes: Resources: [2496.0 29.0 10096.0 ] : Q size 320, 2 take 0 milliseconds
14.0 availRes: Resources: [2496.0 29.0 10096.0 ] : Q size 320, 2 take 1 milliseconds
14.0 availRes: Resources: [2496.0 29.0 10096.0 ] : Q size 480, 3 take 1 milliseconds
14.0 availRes: Resources: [2496.0 29.0 10096.0 ] : Q size 640, 4 take 2 milliseconds
14.0 availRes: Resources: [2496.0 28.0 10094.0 ] : Q size 480, 3 take 1 milliseconds
14.0 availRes: Resources: [2496.0 28.0 10094.0 ] : Q size 480, 3 take 1 milliseconds
15.0 availRes: Resources: [2496.0 28.0 10094.0 ] : Q size 160, 1 take 0 milliseconds
15.0 availRes: Resources: [2496.0 28.0 10094.0 ] : Q size 320, 2 take 0 milliseconds
15.0 availRes: Resources: [2496.0 28.0 10094.0 ] : Q size 480, 3 take 1 milliseconds
15.0 availRes: Resources: [2496.0 28.0 10094.0 ] : Q size 800, 5 take 2 milliseconds
15.0 availRes: Resources: [2464.0 28.0 10084.0 ] : Q size 800, 5 take 3 milliseconds
15.0 availRes: Resources: [2464.0 27.0 10082.0 ] : Q size 640, 4 take 2 milliseconds
15.0 availRes: Resources: [2464.0 26.0 10080.0 ] : Q size 480, 3 take 1 milliseconds
15.0 availRes: Resources: [2464.0 26.0 10080.0 ] : Q size 480, 3 take 1 milliseconds
17.0 availRes: Resources: [2304.0 22.0 9952.0 ] : Q size 320, 2 take 0 milliseconds
17.0 availRes: Resources: [2304.0 22.0 9952.0 ] : Q size 320, 2 take 1 milliseconds
17.0 availRes: Resources: [2304.0 22.0 9952.0 ] : Q size 480, 3 take 1 milliseconds
17.0 availRes: Resources: [2304.0 22.0 9952.0 ] : Q size 640, 4 take 2 milliseconds
17.0 availRes: Resources: [2304.0 22.0 9952.0 ] : Q size 640, 4 take 1 milliseconds
18.0 availRes: Resources: [2144.0 25.0 9908.0 ] : Q size 320, 2 take 0 milliseconds
18.0 availRes: Resources: [2144.0 25.0 9908.0 ] : Q size 320, 2 take 1 milliseconds
18.0 availRes: Resources: [2144.0 25.0 9908.0 ] : Q size 480, 3 take 1 milliseconds
18.0 availRes: Resources: [2144.0 25.0 9908.0 ] : Q size 640, 4 take 1 milliseconds
18.0 availRes: Resources: [2144.0 25.0 9908.0 ] : Q size 640, 4 take 2 milliseconds
19.0 availRes: Resources: [2240.0 21.0 9908.0 ] : Q size 320, 2 take 1 milliseconds
19.0 availRes: Resources: [2240.0 21.0 9908.0 ] : Q size 320, 2 take 0 milliseconds
19.0 availRes: Resources: [2240.0 21.0 9908.0 ] : Q size 480, 3 take 1 milliseconds
19.0 availRes: Resources: [2240.0 21.0 9908.0 ] : Q size 640, 4 take 1 milliseconds
19.0 availRes: Resources: [2240.0 21.0 9908.0 ] : Q size 640, 4 take 2 milliseconds
20.0 availRes: Resources: [2272.0 24.0 9950.0 ] : Q size 160, 1 take 0 milliseconds
20.0 availRes: Resources: [2272.0 24.0 9950.0 ] : Q size 160, 1 take 0 milliseconds
20.0 availRes: Resources: [2272.0 24.0 9950.0 ] : Q size 480, 3 take 1 milliseconds
20.0 availRes: Resources: [2272.0 24.0 9950.0 ] : Q size 640, 4 take 1 milliseconds
20.0 availRes: Resources: [2272.0 24.0 9950.0 ] : Q size 640, 4 take 2 milliseconds
21.0 availRes: Resources: [2304.0 28.0 10014.0 ] : Q size 160, 1 take 0 milliseconds
21.0 availRes: Resources: [2304.0 28.0 10014.0 ] : Q size 160, 1 take 1 milliseconds
21.0 availRes: Resources: [2304.0 28.0 10014.0 ] : Q size 480, 3 take 1 milliseconds
21.0 availRes: Resources: [2304.0 27.0 10012.0 ] : Q size 320, 2 take 0 milliseconds
21.0 availRes: Resources: [2304.0 26.0 10010.0 ] : Q size 160, 1 take 0 milliseconds
21.0 availRes: Resources: [2304.0 26.0 10010.0 ] : Q size 320, 2 take 1 milliseconds
21.0 availRes: Resources: [2304.0 26.0 10010.0 ] : Q size 320, 2 take 0 milliseconds
22.0 availRes: Resources: [2368.0 25.0 10030.0 ] : Q size 160, 1 take 1 milliseconds
22.0 availRes: Resources: [2368.0 25.0 10030.0 ] : Q size 160, 1 take 0 milliseconds
22.0 availRes: Resources: [2368.0 25.0 10030.0 ] : Q size 160, 1 take 0 milliseconds
22.0 availRes: Resources: [2368.0 25.0 10030.0 ] : Q size 320, 2 take 0 milliseconds
22.0 availRes: Resources: [2368.0 25.0 10030.0 ] : Q size 320, 2 take 0 milliseconds
23.0 availRes: Resources: [2432.0 26.0 10074.0 ] : Q size 160, 1 take 0 milliseconds
23.0 availRes: Resources: [2432.0 26.0 10074.0 ] : Q size 160, 1 take 0 milliseconds
23.0 availRes: Resources: [2432.0 26.0 10074.0 ] : Q size 320, 2 take 1 milliseconds
23.0 availRes: Resources: [2432.0 26.0 10074.0 ] : Q size 480, 3 take 1 milliseconds
23.0 availRes: Resources: [2432.0 25.0 10072.0 ] : Q size 320, 2 take 0 milliseconds
23.0 availRes: Resources: [2432.0 25.0 10072.0 ] : Q size 320, 2 take 1 milliseconds
24.0 availRes: Resources: [2464.0 25.0 10088.0 ] : Q size 160, 1 take 0 milliseconds
24.0 availRes: Resources: [2464.0 25.0 10088.0 ] : Q size 160, 1 take 0 milliseconds
24.0 availRes: Resources: [2464.0 25.0 10088.0 ] : Q size 320, 2 take 0 milliseconds
24.0 availRes: Resources: [2464.0 25.0 10088.0 ] : Q size 480, 3 take 0 milliseconds
24.0 availRes: Resources: [2464.0 24.0 10086.0 ] : Q size 320, 2 take 0 milliseconds
24.0 availRes: Resources: [2464.0 24.0 10086.0 ] : Q size 320, 2 take 1 milliseconds
25.0 availRes: Resources: [2336.0 22.0 9978.0 ] : Q size 160, 1 take 1 milliseconds
25.0 availRes: Resources: [2336.0 22.0 9978.0 ] : Q size 160, 1 take 0 milliseconds
25.0 availRes: Resources: [2336.0 22.0 9978.0 ] : Q size 160, 1 take 0 milliseconds
25.0 availRes: Resources: [2336.0 22.0 9978.0 ] : Q size 320, 2 take 0 milliseconds
25.0 availRes: Resources: [2336.0 22.0 9978.0 ] : Q size 320, 2 take 0 milliseconds
26.0 availRes: Resources: [2240.0 27.0 9980.0 ] : Q size 160, 1 take 1 milliseconds
26.0 availRes: Resources: [2240.0 26.0 9978.0 ] : Q size 160, 1 take 0 milliseconds
26.0 availRes: Resources: [2240.0 26.0 9978.0 ] : Q size 320, 2 take 0 milliseconds
26.0 availRes: Resources: [2240.0 26.0 9978.0 ] : Q size 800, 5 take 3 milliseconds
26.0 availRes: Resources: [2240.0 25.0 9976.0 ] : Q size 800, 5 take 3 milliseconds
26.0 availRes: Resources: [2240.0 24.0 9974.0 ] : Q size 640, 4 take 1 milliseconds
26.0 availRes: Resources: [2240.0 23.0 9972.0 ] : Q size 480, 3 take 1 milliseconds
26.0 availRes: Resources: [2240.0 22.0 9970.0 ] : Q size 320, 2 take 0 milliseconds
