interactive,150.0,0.0
batch01,12.0,0.0
batch02,12.0,0.0
batch03,12.0,0.0
batch04,12.0,0.0
interactive,150.0,0.0
batch01,12.0,0.0
batch02,12.0,0.0
batch03,12.0,0.0
batch04,12.0,0.0
interactive,9.0,0.0
batch01,45.0,0.0
batch02,45.0,0.0
batch03,60.0,0.0
batch04,30.0,0.0
interactive,9.0,0.0
batch01,44.0,0.0
batch02,44.0,0.0
batch03,55.0,0.0
batch04,33.0,0.0
interactive,9.0,0.0
batch01,45.0,0.0
batch02,45.0,0.0
batch03,54.0,0.0
batch04,36.0,0.0
interactive,9.0,0.0
batch01,42.0,0.0
batch02,42.0,0.0
batch03,49.0,0.0
batch04,35.0,0.0
interactive,9.0,0.0
batch01,42.0,0.0
batch02,42.0,0.0
batch03,48.0,0.0
batch04,36.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,50.0,0.0
batch04,30.0,0.0
interactive,9.0,0.0
batch01,45.0,0.0
batch02,45.0,0.0
batch03,55.0,0.0
batch04,35.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,104.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,104.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,102.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,102.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,104.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,104.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,100.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,100.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,5.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,102.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,102.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,6.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,98.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,98.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,7.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,104.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,104.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,8.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,99.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,99.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,9.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,100.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,100.0,0.0
batch01,20.0,0.0
batch02,20.0,0.0
batch03,24.0,0.0
batch04,16.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
batch04,32.0,0.0
interactive,0.0,0.0
batch01,40.0,0.0
batch02,40.0,0.0
batch03,48.0,0.0
