JobId, startTime, endTime, duration, queueName, startRunning, runningTime, isCPU
110,210.0,300.0,90.0,queue0,256.0,44.0,false
128,258.0,301.0,43.0,queue8,259.0,42.0,false
133,266.0,307.0,41.0,queue3,268.0,39.0,false
115,211.0,310.0,99.0,queue5,254.0,56.0,false
118,239.0,310.0,71.0,queue8,256.0,54.0,false
136,272.0,315.0,43.0,queue6,286.0,29.0,false
138,281.0,316.0,35.0,queue8,301.0,15.0,false
120,250.0,319.0,69.0,queue0,262.0,57.0,false
124,251.0,319.0,68.0,queue4,283.0,36.0,false
146,308.0,324.0,16.0,queue6,310.0,14.0,false
55,34.0,326.0,292.0,queue5,78.0,248.0,false
149,312.0,329.0,17.0,queue9,315.0,14.0,false
130,259.0,333.0,74.0,queue0,272.0,61.0,false
143,303.0,333.0,30.0,queue3,307.0,26.0,false
141,291.0,334.0,43.0,queue1,297.0,37.0,false
121,250.0,336.0,86.0,queue1,278.0,58.0,false
144,305.0,339.0,34.0,queue4,310.0,29.0,false
156,329.0,340.0,11.0,queue6,329.0,11.0,false
125,257.0,342.0,85.0,queue5,298.0,44.0,false
87,143.0,343.0,200.0,queue7,255.0,88.0,false
140,291.0,343.0,52.0,queue0,300.0,43.0,false
135,272.0,345.0,73.0,queue5,319.0,26.0,false
131,261.0,349.0,88.0,queue1,281.0,68.0,false
158,332.0,349.0,17.0,queue8,333.0,16.0,false
134,268.0,351.0,83.0,queue4,292.0,59.0,false
97,175.0,355.0,180.0,queue7,343.0,12.0,false
151,313.0,361.0,48.0,queue1,336.0,25.0,false
150,312.0,365.0,53.0,queue0,319.0,46.0,false
145,305.0,368.0,63.0,queue5,342.0,26.0,false
154,323.0,371.0,48.0,queue4,326.0,45.0,false
164,347.0,372.0,25.0,queue4,349.0,23.0,false
82,133.0,378.0,245.0,queue2,204.0,174.0,false
107,209.0,378.0,169.0,queue7,345.0,33.0,false
161,337.0,378.0,41.0,queue1,339.0,39.0,false
112,210.0,382.0,172.0,queue2,291.0,91.0,false
159,332.0,387.0,55.0,queue9,333.0,54.0,false
132,266.0,388.0,122.0,queue2,349.0,39.0,false
122,250.0,389.0,139.0,queue2,299.0,90.0,false
160,334.0,389.0,55.0,queue0,334.0,55.0,false
168,375.0,390.0,15.0,queue8,378.0,12.0,false
