batch0,0.51,0.63
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.51,0.63
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.51,0.63
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.43,0.54
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.43,0.54
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.43,0.54
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.52,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.51,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.51,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.51,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,0.5,0.66
batch1,0.25,0.29
bursty0,63.0,99.0
batch0,33.42,44.5
batch1,38.25,44.37
bursty0,14.5,11.0
batch0,33.42,44.5
batch1,38.25,44.37
bursty0,14.5,11.0
batch0,36.26,50.38
batch1,42.75,49.59
bursty0,0.0,0.0
batch0,35.98,50.3
batch1,42.75,49.59
bursty0,0.0,0.0
batch0,35.97,50.3
batch1,42.75,49.59
bursty0,0.0,0.0
